,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SIDM00499,-3.33366,-5.84145,0.44655,0.58124,7.05529,6.0691,-1.46571,-0.91527,-0.59616,-0.03394
SIDM00980,-4.2779,3.5989,4.63625,0.51161,2.29322,1.89322,0.36228,1.02508,1.39448,-1.20663
SIDM00982,-5.92279,9.20238,-0.54885,-3.12932,-1.02094,0.43326,0.66962,-1.48273,-0.70931,-0.37638
SIDM00803,-2.58206,-1.43876,4.63928,-1.61001,-1.79354,3.34469,2.45771,-1.39326,1.76028,0.00112
SIDM00998,-0.91538,0.60663,2.95141,-3.29278,-1.7083,0.27389,-2.53394,0.04636,-0.33949,-0.54095
SIDM00799,-1.96051,-5.52069,1.41672,-2.6649,0.13952,4.77289,1.12802,-0.73352,-0.75372,-0.25735
SIDM00797,-2.31568,-2.45757,-0.42069,2.05495,-3.90958,-1.1938,-1.22745,0.33028,1.58424,-0.84726
SIDM00796,-6.14275,7.25965,1.18986,-2.17464,-0.51537,-0.72917,0.22784,1.36713,-1.17655,0.63519
SIDM00210,0.99123,0.55752,8.7076,1.38036,-1.45253,1.66209,-2.45518,0.28989,-0.61407,-1.40338
SIDM00795,-0.15061,-1.53115,5.9917,3.66819,-3.77546,1.59104,1.07408,-0.99237,-0.86884,0.98454
SIDM00903,-2.20461,0.93619,6.62094,-1.16375,-0.08917,4.5095,0.15872,2.09978,-1.31975,0.8133
SIDM00850,-1.12696,5.69667,9.80065,0.05547,-0.43533,-0.43073,-0.21258,-1.55656,1.89784,1.30888
SIDM00492,-2.94577,-4.0878,-3.14513,-1.42552,0.90598,2.27423,0.75611,-1.11475,-1.34703,-0.58298
SIDM00900,-2.81766,5.68043,4.34893,-1.23083,1.93552,-3.81919,1.54534,-2.17169,-0.96439,1.42551
SIDM00899,-4.90178,-2.80013,-6.09788,5.07784,0.54873,-2.1179,-0.08049,-3.33513,1.55304,0.52725
SIDM00898,-3.76681,-0.21359,-1.07844,7.08433,0.17584,-1.5749,-3.07274,-2.63126,0.63247,-0.20014
SIDM00172,-3.37718,-1.42221,0.40102,-0.98968,-2.05549,-1.26737,0.02063,1.40156,1.27114,0.35677
SIDM01229,-1.58486,-7.53743,-0.37521,-2.62764,1.88036,-0.4484,-0.11229,1.44274,-0.50585,-2.68554
SIDM00490,-3.94448,5.24857,1.31636,-2.58765,-0.65857,-0.69483,-2.3228,-1.09636,-0.54072,-0.21889
SIDM00986,-5.2857,2.9955,-0.72886,-2.25844,-0.14063,-1.63647,-0.00798,1.10762,-0.47213,1.62314
SIDM00077,-2.86229,-1.64114,-1.58995,-3.54601,-1.59303,-1.67506,-0.4321,-0.87146,1.01987,-0.21929
SIDM00485,-4.79665,7.15667,4.14879,-1.16854,-1.86662,-0.66092,0.96345,2.96605,-0.18958,0.47322
SIDM00501,-7.701,12.82517,4.30044,0.39843,1.0391,2.78891,1.06152,4.22378,-0.4666,-0.01592
SIDM00132,-4.37481,-2.46754,-2.39114,4.14779,-3.02863,-1.45742,0.34223,1.38671,0.93843,0.00464
SIDM01233,-2.85146,0.10262,1.18601,4.70732,-2.69403,0.10483,-0.94565,-0.89646,-1.13826,1.09079
SIDM00489,-2.5064,2.76402,2.82711,-1.7815,-0.90495,-1.36934,-1.5773,0.87396,-0.84712,0.05766
SIDM00937,0.1212,-0.18469,8.4383,-2.2022,-4.19785,-2.6084,0.25465,2.89971,0.38475,1.92787
SIDM00942,-4.41105,13.13242,5.55642,-1.80372,-1.14482,-1.00115,-0.03089,0.58208,0.68765,0.01098
SIDM00933,2.22867,-2.73693,10.46134,4.32119,0.1165,2.2127,-5.54701,-1.70441,1.08407,0.54749
SIDM00930,-10.27708,10.87977,-3.42109,-4.90377,5.50467,2.3162,-1.44398,-0.60382,2.1787,-1.49846
SIDM00918,-4.23189,-5.19881,-2.80727,-1.05014,1.65057,-0.95004,-0.01124,2.38231,0.18718,-1.15989
SIDM00934,-3.1308,-0.80736,-2.22896,5.39286,-1.76447,-2.76395,-0.76315,-1.15931,0.57288,0.37612
SIDM00212,-6.1439,3.10918,-3.22671,-5.2861,1.44054,0.70538,-0.63191,-1.50516,0.96446,-1.63586
SIDM00910,-2.896,-2.76876,0.86983,-0.64659,-1.37144,3.25317,2.36594,-0.60771,0.95341,-4.26096
SIDM00944,-3.67888,0.58961,-0.14124,6.25199,-2.43899,-1.37853,-0.7597,-0.20671,0.09811,-0.6681
SIDM00826,-2.12071,0.74009,2.07759,6.65509,-1.98736,-1.72169,-0.01261,-4.26483,-0.73939,1.20111
SIDM00842,-0.52365,-1.37166,4.77348,3.97716,-2.64344,-0.71818,-2.06748,-0.54157,0.28915,-0.23543
SIDM00957,-8.40707,-2.97767,-7.50392,7.72348,1.57722,5.6427,3.49367,3.40273,-2.05327,0.49929
SIDM00956,-3.57833,-1.27121,1.29785,-1.45252,-2.05499,-0.12014,1.59418,1.54402,1.82703,0.53298
SIDM00142,-5.2743,2.19349,0.13894,-2.17176,4.88931,-0.28081,-3.13428,0.66127,-0.74622,-1.81834
SIDM00954,-4.68057,0.44444,-1.45346,5.37242,-0.59713,-1.0387,0.58343,-0.05889,-0.42995,-1.46551
SIDM00512,-2.45959,1.32258,1.45812,-0.00922,-1.89925,-1.91555,0.66917,-1.8218,-1.33873,1.37225
SIDM00209,1.17405,-2.95562,4.07151,-1.9458,-1.07364,-0.7745,-3.3712,-0.38507,-0.33648,-0.11761
SIDM00208,-3.8401,-3.87932,3.95279,-1.09398,-1.37894,7.60238,4.87161,1.15575,0.39489,-0.98511
SIDM00207,-4.14061,-3.79269,-4.95861,-4.49635,-0.57786,-0.36336,0.09792,0.10749,0.64746,-2.59166
SIDM00950,-2.55734,-1.04833,0.32868,3.0244,-3.49108,-2.82681,-1.51074,-0.7354,1.64927,0.93531
SIDM00867,-0.77482,-3.74702,3.2578,-1.85235,-2.20843,2.21679,2.48541,-2.28641,0.15434,0.40562
SIDM00831,-3.00887,-0.0722,1.01648,-0.29554,-1.58129,-2.04771,0.28323,3.19794,-1.07542,1.91231
SIDM00049,-5.06213,-0.86395,-2.29269,6.53977,0.86082,-0.48373,-0.8673,-1.81019,0.08677,1.09539
SIDM00947,-2.58576,-3.28149,-4.49285,-3.61281,-1.81745,0.11227,0.70084,-2.21601,3.6299,-3.61655
SIDM00540,-7.29305,8.34112,0.53528,-1.90077,1.29522,2.11315,-0.15387,2.54351,0.78611,0.25524
SIDM00969,-1.94908,-5.61896,0.80243,-2.67323,-3.41864,2.68701,3.00722,1.01154,0.06718,-0.0684
SIDM00120,-2.50949,-4.59536,0.26319,-2.89905,-0.45717,-0.53715,-1.09557,2.53242,0.06619,0.50249
SIDM00486,-1.63618,-7.07549,2.06044,1.53687,1.27576,2.73676,3.79661,2.8051,-0.96414,2.0621
SIDM00278,-3.57018,-3.5319,-2.67995,-2.63275,0.98864,-2.05318,-2.22572,1.3502,-0.27774,0.63895
SIDM01052,-5.64152,-7.11015,-9.27074,-3.94903,5.83927,-0.15259,-0.81693,-1.57429,1.07324,1.17974
SIDM01051,-3.76249,-3.24621,-1.55628,-1.44997,1.97114,0.27768,1.16556,0.0289,-1.52185,1.31791
SIDM01050,-3.65106,-1.15936,-0.36514,6.2344,-1.69449,0.95385,1.62236,-0.26618,-1.38812,1.9196
SIDM01044,-3.23718,-5.69614,-3.26599,-1.54415,-0.08953,-0.18632,0.63758,2.15453,-1.66449,0.69756
SIDM00861,0.52778,-3.45791,2.64247,-1.91667,-2.32142,-1.36357,-0.90525,-1.06902,-1.05425,1.50827
SIDM00264,-3.27693,-2.3554,2.57443,-1.09985,-1.4138,5.53991,4.13982,-0.48309,0.77131,-1.08423
SIDM00263,-0.02674,-6.30349,5.17414,-1.72468,2.33282,-1.32375,-0.27703,-1.64707,1.1842,-1.31823
SIDM00261,-2.4787,-2.08771,2.56669,3.72097,-3.93741,1.6414,-0.1073,1.86427,0.79314,-3.02021
SIDM00539,-2.95567,-3.91377,-3.40897,-1.61451,0.70095,-3.6435,0.15535,0.65319,-1.0005,0.71403
SIDM00538,-4.1063,1.02905,-2.45412,-0.67614,1.59004,-2.21685,1.4178,-3.39993,0.12134,0.67498
SIDM01043,-0.47912,-1.61278,3.94914,-2.23281,-3.74453,-1.88379,0.76103,-1.19482,0.45867,1.04492
SIDM01042,-1.16125,-0.2323,3.02302,5.64697,-0.72651,-1.65775,-3.16071,-1.32803,-1.37073,0.83396
SIDM00205,-0.74075,2.2999,5.93845,-1.68115,-1.14936,-1.34565,-1.4853,-1.64288,-1.01099,-0.51647
SIDM00198,-1.08802,-4.10612,2.26277,-2.26965,-3.01119,-1.52608,1.04636,0.71594,0.17128,-1.59666
SIDM00196,-3.67947,-1.78886,0.0522,-1.50584,0.49989,-1.05587,1.20333,-0.2297,0.41997,-1.89205
SIDM00201,-0.20334,-3.82831,4.86143,-0.51029,-1.6759,1.58586,0.69235,-0.43562,-0.59369,-1.32004
SIDM00860,-1.28998,1.58736,6.72635,-0.45152,-2.26486,-1.13126,-0.46785,3.57001,-1.79476,0.664
SIDM01041,-3.58284,2.43234,1.78541,-2.73529,0.40293,-0.73425,-1.48446,-0.19631,-0.03297,0.895
SIDM01055,-1.57509,-2.83359,-0.97689,-4.49492,-1.4002,-2.39215,-2.49319,-0.65439,-1.58689,1.00373
SIDM00581,-5.69548,8.07604,2.55744,-2.5888,-0.92419,2.19366,1.79547,1.42467,0.04015,-1.88074
SIDM00273,-0.20619,-2.87196,3.5371,-3.8167,-2.85133,0.19194,-1.54763,-0.0564,-0.0094,-1.03959
SIDM00537,-2.88024,-1.95167,1.5771,6.00804,-0.24899,1.9346,-1.41973,0.41893,-0.78363,-0.95873
SIDM00598,-1.48798,-5.23351,0.00872,-1.42262,-0.28913,-3.45144,0.69862,0.52556,-1.32437,1.15259
SIDM01072,-6.39683,-9.4305,-1.1394,3.10919,0.1333,6.5021,7.34197,9.36432,-1.17664,0.60829
SIDM01068,-3.46008,-5.07746,2.76469,1.22432,2.85477,2.77314,2.24657,0.41033,0.66533,2.1405
SIDM00866,-4.98604,-0.98695,-2.31357,5.31147,-1.34433,-1.27171,-0.31985,1.59635,0.75399,-0.8738
SIDM00885,-3.65951,-2.165,0.94342,6.93873,0.24632,1.30171,-1.07268,1.84459,-0.70708,-0.96114
SIDM00884,-5.49037,0.04847,-4.39055,4.34163,0.60813,2.04773,-2.55098,-0.96128,0.81544,-1.43517
SIDM00875,-3.99171,-0.14006,-1.86715,3.35338,-1.13734,-1.60926,-0.60201,0.58508,2.20358,-0.1723
SIDM00874,-5.03572,-1.36084,-4.93128,5.45896,0.05397,-0.38288,-1.79127,-0.27128,1.2012,0.06744
SIDM00872,-4.6693,-1.74899,-1.86559,6.10799,-0.8749,-0.98472,-0.86227,-1.64025,3.54669,1.53309
SIDM00118,-4.22699,-0.43195,-0.91358,7.42758,0.44133,-2.11351,-1.30856,-0.13399,0.99127,0.14297
SIDM00675,-4.7585,-0.63881,-1.38965,4.27837,-2.40002,1.25807,-0.04731,1.34792,0.92533,-1.39409
SIDM00673,-4.80307,-2.38978,-3.24165,5.48931,-1.35915,-0.76474,0.6172,-0.27559,-0.10262,0.83849
SIDM00052,-5.0858,8.97384,6.12542,-4.23106,-0.27229,1.97555,-2.23278,1.96064,3.02416,0.1243
SIDM00783,-4.06838,3.79242,1.52406,3.11185,-1.21152,0.95637,0.47756,-1.00139,-0.13517,0.83927
SIDM00789,-1.41101,-3.15544,3.67357,4.84199,-0.71086,-2.20921,-2.82191,-0.37048,0.74629,0.98307
SIDM00596,-4.14561,-1.35704,1.40404,-1.16097,-0.71293,0.46321,0.94412,3.25217,-1.49781,0.5576
SIDM00968,-0.39619,-4.62171,3.60138,-1.3911,-3.48248,2.65024,2.20736,0.14577,-1.18259,1.20559
SIDM00290,-1.09465,-2.50663,3.66265,-2.56845,0.42451,-2.69519,-2.43799,1.64099,-2.11689,0.76627
SIDM00591,-3.58358,2.56025,2.61611,-2.3781,-0.88948,-1.60791,-0.31608,0.72749,-0.13368,0.39072
SIDM00133,-5.36476,9.40077,0.69291,-2.10346,-0.03225,1.70625,0.19288,-0.62537,-1.67446,-0.37452
SIDM00669,-4.71624,-1.38974,-4.0431,5.7092,-0.30578,-1.4169,-1.05349,-1.65467,0.48281,0.73316
SIDM00135,-4.74813,-0.26819,-4.28725,3.61169,-1.82239,0.52569,-1.34127,-0.94283,1.29626,-2.02901
SIDM00666,-2.25127,-4.23573,-0.59666,-3.01062,-1.54996,-0.42704,-0.46854,0.25611,1.34179,-0.16011
SIDM00589,-2.51462,0.50765,4.40463,-0.75914,-3.08759,0.1581,2.13677,2.7321,-0.61874,0.64907
SIDM00045,-1.2345,-1.17528,4.85439,-0.89106,2.2516,-3.11118,-1.78431,-0.65294,-0.26509,2.01539
SIDM00588,-3.32313,3.30165,3.52084,-1.82072,-2.68278,-2.14509,-0.23842,2.6955,-0.08997,1.61139
SIDM00136,-1.78629,-4.37033,-0.41668,-0.23608,0.50717,-3.37694,-1.40692,-0.63451,-0.01452,1.50966
SIDM00541,-4.31589,3.96532,2.26097,5.46593,-0.50641,-0.25999,-0.26468,-1.37466,-0.56302,-0.263
SIDM00533,-4.38418,0.23346,-3.76653,4.80103,-2.87505,-0.70222,0.2093,-1.79479,0.48273,0.50326
SIDM00531,-3.5164,-2.39695,2.79873,7.44277,-0.9437,2.19694,0.50694,0.84663,1.03679,1.7656
SIDM00151,-4.14421,-3.17321,0.26589,0.03822,3.19624,4.55821,-0.49509,-0.33542,-0.3686,0.42576
SIDM00632,1.69117,1.07512,8.11205,1.52942,0.12144,-1.65344,2.80522,-7.33025,-1.16284,-0.61992
SIDM00602,-5.18177,1.47292,2.3632,-0.10559,3.47998,3.0871,-0.73431,0.61379,-0.20084,0.89284
SIDM00225,-4.86196,-1.93653,-6.40997,3.55144,-1.15784,-0.4434,-1.15406,-2.42394,0.18465,0.54245
SIDM00305,-0.5687,-4.91614,1.20882,-1.06877,-1.61263,-0.11997,0.38728,-0.81218,-0.42831,0.79293
SIDM00303,-1.82325,-4.27342,-0.34979,-0.82197,-0.56791,-2.13268,-0.63562,0.36547,-0.34412,-1.19491
SIDM00128,-2.20485,2.02673,3.87147,-2.45432,-2.4903,-1.65232,1.21975,-0.72896,0.02539,2.22024
SIDM00127,-4.52658,1.11118,-1.39904,-2.05385,0.33679,-2.13316,-1.97255,1.31468,-1.85384,0.14839
SIDM00690,-0.78608,-2.95929,4.21763,-2.07689,-3.97503,-1.64712,1.28684,0.35613,2.62524,0.47033
SIDM01037,-5.80961,-2.57372,-6.58679,4.67413,0.81825,0.25571,-1.66555,0.78274,0.38238,-0.28778
SIDM00687,-7.47911,2.33099,-3.97298,-1.74188,4.85989,-0.96456,0.7638,-0.91638,-1.27577,0.65182
SIDM00612,-2.30476,-3.44681,-0.94333,-4.02169,-3.10753,-0.41776,1.16971,-1.61991,-0.03156,-0.74414
SIDM00686,-9.87472,9.59497,-4.54566,-4.16061,5.89441,0.95506,-1.6456,0.18409,1.31718,-1.31472
SIDM00150,-5.28314,2.10232,-1.27066,-1.29061,1.89623,-0.96985,1.48377,0.50395,-1.79249,0.29323
SIDM00608,-1.57588,-4.96032,2.04591,-0.46409,2.59478,-3.03605,1.95406,-1.21777,-0.48245,-0.45914
SIDM00607,-4.43238,-5.86623,-3.99384,-2.21351,2.47042,1.62386,0.5203,1.07078,-0.94932,-0.71501
SIDM00606,-3.00998,-4.63446,-2.53013,-2.71653,-0.76093,-2.88651,-1.02665,2.37468,-0.37684,0.26388
SIDM00604,-0.94324,0.9285,6.89108,-0.44772,-2.57132,-1.75719,-0.2497,1.06008,-0.20222,1.6286
SIDM00583,-2.63711,-2.17899,-1.4934,2.83226,-3.06992,-0.74082,-1.06426,0.4814,0.44622,0.32097
SIDM00571,-5.65922,1.36648,-4.50335,3.72141,0.05929,0.92863,1.30442,-1.82391,0.35408,0.84158
SIDM00301,0.40368,-2.13578,5.6672,1.9868,-4.2476,-1.03659,-1.78018,0.99245,-1.33527,0.55533
SIDM00556,-1.86126,-1.5905,4.67788,-0.7257,-1.84215,0.28932,3.42521,0.23944,0.93206,-4.79916
SIDM00157,1.21445,-6.99896,6.75613,-2.62298,2.27701,-0.25017,-1.42877,-1.1565,1.84291,-3.38172
