Gene,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SNTB2,-4.83768,-0.59486,0.22225,0.0317,0.27157,0.46417,-0.06228,0.17407,-0.20923,-0.07746
NQO2,-4.12582,0.1808,0.24956,-0.26047,0.08889,-0.0798,0.15665,0.01836,0.03778,0.14983
EFCAB5,-2.97469,0.16559,1.17794,0.38254,0.36036,-0.11078,-0.37292,0.04879,-0.13326,-0.03402
ZNF501,4.74122,-2.06844,0.71813,-0.00703,-3.08521,1.14769,-0.11624,-0.19497,-0.1793,-0.42631
SLC3A2,1.45599,0.79286,-0.66907,-0.12736,-0.08701,0.15869,0.00409,-0.11752,-0.08311,0.44576
HSD3B1,1.25697,-0.36072,-0.8031,0.13774,-0.21085,0.3245,-0.57593,0.0115,0.21239,0.48477
C22orf31,-3.41915,-0.42089,0.63391,-0.06752,-0.02276,-0.08278,0.00974,-0.08043,0.04803,-0.04022
LDHC,-2.26928,-0.11062,0.20542,0.14757,-0.00387,0.28202,-0.0108,-0.10976,-0.0304,0.05721
GPR137,-0.32851,0.41379,-0.30977,-0.17402,0.30894,-0.01529,0.24273,-0.33047,-0.25451,-0.23937
ELTD1,-2.08434,-0.80031,0.10004,-0.49528,-1.17445,0.41932,0.42388,-0.10428,-0.10109,0.07294
ZNF729,-1.1884,-1.486,-0.7765,-0.45917,0.57651,-0.44198,0.21071,-0.05302,0.28442,0.16413
CLIP4,-3.18229,-0.47129,-0.01496,0.01086,-0.63118,0.30763,0.23809,-0.08074,0.20626,-0.1006
C15orf57,-1.95854,-0.16641,0.54942,-0.16518,0.57179,0.31551,0.46778,-0.37226,0.22681,0.15069
MAPRE3,-2.03661,-0.369,0.21084,-0.05884,-0.28788,0.04795,0.00108,-0.0093,-0.09753,-0.0167
S100A7A,-0.4556,-0.40505,0.08514,-0.20003,0.6092,-0.34415,0.15015,-0.20984,-0.22996,-0.22195
LY6G5C,-2.34599,0.21556,0.52513,-0.05038,0.2248,-0.04218,-0.02871,0.26734,-0.049,0.10781
CFHR5,-1.87595,-1.1861,2.40069,-0.21771,-0.02575,-0.11357,0.48949,-0.2048,0.15023,-0.25189
GTF2A2,18.20651,0.99419,0.34558,-2.12705,0.575,0.88235,1.47496,-0.87333,-0.25435,-0.12561
CNIH3,-5.15654,0.08001,-0.24536,0.04108,0.78644,-0.11848,0.19617,0.03637,0.11977,-0.22337
SLITRK5,-1.80129,0.29842,-0.67064,-0.25314,-0.12342,-0.07598,-0.04528,-0.07182,-0.09884,-0.16274
DEFA6,-2.46658,0.00409,-0.19613,-0.1043,0.14943,-0.2936,0.08297,-0.17392,-0.24447,0.09384
ILVBL,-2.62151,0.50367,-0.07827,0.49365,0.27543,-0.07481,0.04345,0.07298,-0.24914,0.17731
HOXD13,2.12744,0.42097,-1.51504,0.61238,-1.12043,0.70331,-0.64173,0.25698,0.368,0.27159
ERMAP,-2.69948,-0.44893,-0.06797,0.11091,-0.04535,-0.17528,-0.15787,-0.16302,-0.21027,0.09453
NEK1,1.43511,0.21677,0.714,-0.2627,-0.52019,0.1359,0.15105,-0.45099,-0.00362,0.55129
KANSL2,14.28086,-1.46971,-0.34443,1.10082,-1.13246,0.35569,-0.96273,0.63136,1.57523,-0.25678
UNC93A,-1.95688,0.25846,-0.81609,-0.08747,-0.0789,0.21845,0.12126,-0.14036,-0.30598,-0.1914
ZNF529,-1.80291,-0.43507,0.93968,-0.03074,-0.83566,0.42764,-0.08711,0.20924,0.78269,0.1791
COL23A1,-2.50341,-0.04194,-0.90858,-0.0688,0.1184,-0.07293,0.18328,-0.04669,0.09507,0.07496
MNS1,-1.98421,-0.50416,0.90485,-0.0506,-0.46561,-0.03449,0.09821,0.17208,0.30826,-0.05662
NASP,4.12069,-0.12682,0.27365,-0.29007,0.54564,-0.5859,0.12794,-0.31968,0.5335,0.37017
INHBC,-1.06987,-0.45068,-0.00205,-0.04617,0.02262,-0.03436,0.08042,-0.22221,-0.20482,0.13306
HIST4H4,0.46992,-0.02732,-2.06719,0.22767,-0.00337,-0.17475,-0.26247,0.33817,0.29517,0.41218
CHFR,0.27281,-0.58007,-0.17813,-0.17236,-0.37287,0.1535,-0.09543,-0.46284,-0.25811,-0.08356
TTLL5,0.003,-0.06096,0.17994,0.13903,-0.72987,-0.06202,0.21369,0.20937,0.09274,0.08381
GRP,-0.72517,0.25233,0.02685,-0.05263,0.42282,-0.14565,-0.00226,-0.0508,-0.045,-0.14554
MMP1,-3.59748,-0.24176,0.62023,0.17721,0.06459,-0.02952,0.01877,-0.03317,-0.06234,0.15151
BSN,1.95003,-1.32315,-0.38167,0.41327,-0.52052,0.63015,0.02607,0.13577,-0.01471,0.39754
HIST1H3E,-3.45589,0.7542,0.51531,0.67169,0.08726,-0.00274,-0.02924,-0.07274,-0.12537,-0.27085
GJA9,-2.14004,-0.31092,0.22957,0.0773,-0.35532,0.17769,-0.26975,-0.03054,0.0429,0.08672
KBTBD6,-3.76914,0.61568,0.20648,0.43357,6e-05,0.22339,0.38063,-0.05239,0.34011,-0.29811
ZNF132,0.73457,-0.06808,0.59322,0.13239,0.4511,-0.20533,-0.16178,-0.05949,-0.05114,0.18012
