,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SIDM00982,92.12385,-77.45828,-81.42685,17.2138,2.12349,20.44899,20.08602,33.91157,-25.76381,50.10989
SIDM00807,-43.9032,-68.45623,-30.04234,-34.39527,-19.09676,-5.06541,48.91797,-47.48541,5.3935,-8.33793
SIDM00999,45.87609,-2.17625,-27.9269,28.18571,23.12934,-51.54291,7.57458,-33.70297,2.12497,26.39137
SIDM00983,-67.55711,-24.63948,-33.72563,-18.21019,-1.49451,-45.77763,22.46201,-10.86533,-21.88458,-13.37774
SIDM01076,87.07942,165.61784,-73.64433,-51.93924,4.27083,0.83055,-6.06542,-11.00654,-26.23763,14.03758
SIDM00803,5.35376,-8.24347,-36.98332,65.76911,-27.87101,-46.6037,-7.09886,-26.24903,13.22586,-64.42984
SIDM00998,63.20913,-61.58332,-26.18381,-32.13801,-77.6522,52.99117,-21.84855,25.56099,-11.80057,-13.34726
SIDM00997,62.84703,-89.96999,-89.41676,9.40602,-32.48902,5.07726,30.68902,-12.31617,-4.94272,-12.5436
SIDM00799,72.02294,-80.58264,-43.15194,27.60625,1.75635,1.68265,-2.78551,-3.44628,-25.92567,17.00653
SIDM00797,75.8666,-29.31292,-60.14268,29.20976,-24.24115,-8.82189,4.35473,44.48009,91.73509,31.43336
SIDM00210,106.40709,34.66687,37.99473,15.93945,8.89052,-57.93902,-14.87199,-13.9086,23.05272,27.6297
SIDM00810,29.67105,9.23807,67.46247,37.13354,67.9739,-68.43058,-73.51542,-30.91333,31.73199,-26.21416
SIDM00995,-162.97629,-20.84941,-47.31297,-42.77543,122.58359,11.51803,50.77224,-11.52846,12.77776,15.6948
SIDM00903,-4.01336,-37.69441,-4.76076,34.75265,-31.46917,-68.081,-15.50005,-47.87731,14.49566,4.24538
SIDM00494,-59.80013,26.2392,35.41699,-13.07932,15.17886,-72.6389,24.04347,39.93677,1.12222,-17.25427
SIDM00850,-101.98808,72.44114,-3.11736,59.81664,-18.38455,0.60575,34.77919,2.09343,9.03606,17.64035
SIDM00492,67.44941,-37.90593,-87.44731,3.21828,-33.54508,7.49417,39.14512,-11.49954,30.20131,-2.48492
SIDM00993,56.00726,169.18127,-66.13573,-67.18335,-28.66235,8.40369,-15.78113,-2.6414,14.79648,-29.15667
SIDM00900,30.43558,114.14487,-80.09775,-100.26862,13.88888,58.37879,-37.8921,-11.91417,4.45687,-78.46605
SIDM00898,-91.17303,43.97327,40.91875,-21.65294,-35.26937,-50.10591,36.339,98.13193,-41.97474,30.83442
SIDM00899,-122.61764,39.26036,-18.47148,80.49737,-46.67069,44.24168,3.56165,-39.13948,7.51211,35.47982
SIDM00172,-127.69988,-46.73368,-24.33286,-55.0167,128.28562,57.63015,4.32812,0.88975,-15.30281,-6.71265
SIDM01229,187.19842,33.98249,162.34926,-7.69618,28.34365,57.90377,64.69641,-59.72768,-46.0714,6.54935
SIDM00989,-102.78046,-33.6746,4.96874,-57.88292,17.37605,-2.07023,23.67752,-23.43152,14.90424,21.78224
