gene,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
A1CF,-139.56098,21.8824,-18.48937,0.34808,-39.17667,-9.03655,2.35968,-4.06253,13.0249,3.83378
A2M,-103.06811,-22.02783,9.37585,13.8347,-13.14313,-2.02725,-6.7363,26.28778,9.65823,1.00416
A2ML1,-117.11115,24.56923,-5.31376,-6.2776,21.22954,-2.45393,-0.29756,10.17765,1.03963,3.69826
A4GALT,-32.04706,21.2316,31.47863,0.07879,9.91971,6.44127,-15.75884,-2.07213,-5.21675,10.01982
AAAS,53.70427,-4.28431,-4.55663,0.55869,-0.38164,-2.962,-0.40228,-1.56461,1.44662,-0.0055
AACS,49.92562,2.36996,-3.99722,-0.93394,-1.56667,-1.42387,3.02179,-0.03944,-0.46753,-0.86434
AADAC,-132.62842,30.50507,11.23808,7.01328,-9.41622,-1.39489,3.87091,-12.56332,11.47981,2.19272
AADAT,-12.95193,-2.68401,20.01154,-20.10328,-13.15757,0.04332,7.00512,-1.11326,8.12941,-4.34973
AAED1,7.51659,1.21832,10.18115,1.69085,-4.02048,7.15244,-6.87704,-2.19629,0.36684,-4.12914
AAGAB,63.66132,1.53873,-1.10571,0.13462,-0.33723,-3.0561,-0.37716,0.90156,0.58231,-1.70971
AAK1,59.52664,-2.52305,6.25761,-1.21439,1.57858,4.53757,-0.22488,0.24405,-1.02986,-0.57796
AAMDC,0.16155,-3.69252,0.64036,1.9709,-4.19978,-2.86152,-1.2387,0.73545,-3.67176,-0.62975
AAMP,75.51824,0.73008,-3.04722,0.2935,-2.15259,-3.73595,0.31395,0.44598,1.16776,-1.04527
AAR2,50.32998,-1.09758,-2.01745,0.37086,0.62889,-1.25816,1.49024,0.38263,0.52945,-0.96663
AARD,-113.71883,-7.32676,1.71905,-7.90602,5.24101,-8.55099,-13.32912,14.07079,-5.63857,-8.99081
AARS,106.52163,-1.26183,-4.85405,1.67953,1.2442,-0.83249,-0.4995,1.826,1.80676,1.56576
AARS2,37.94531,-5.48638,-5.47893,1.07897,0.29206,-2.56684,0.15505,1.18886,1.15652,-0.81582
AARSD1,3.17628,-2.72378,-6.83951,2.72114,-0.50636,-3.0424,1.12959,-2.39513,2.33389,-1.0585
AASDH,17.04166,-0.91064,-7.0162,0.33628,2.06743,2.81458,0.5297,0.22739,-0.68805,0.49855
AASDHPPT,59.02603,-4.35118,-5.16229,-0.09985,0.2327,-1.75177,-0.18537,-3.2931,0.76819,-0.69795
AASS,-10.27482,-14.76825,15.55711,0.23483,-1.00046,10.13145,3.06571,2.67287,13.40252,6.0254
AATF,70.17808,-0.60671,-3.21963,4.96595,-1.07569,-4.06533,-0.54257,-2.89816,3.15913,-1.55042
AATK,-54.13335,6.10918,-3.17712,-27.41316,-5.54253,10.5506,-2.01033,-2.10934,5.52877,1.19116
ABAT,-13.33165,3.71049,-11.17075,-10.6095,13.49119,2.63336,4.84737,3.3338,-8.57998,-0.93869
ABCA1,10.84012,-5.21399,16.11442,14.94526,1.95771,7.68307,3.61994,-6.12377,-3.387,4.17435
ABCA10,-66.99845,3.35278,1.61932,0.92455,3.60556,10.64316,0.89372,-5.56998,6.06673,0.60208
ABCA12,-53.98924,28.70085,0.07349,-14.8024,15.45586,-12.65532,12.84642,8.47239,-3.9063,0.7457
ABCA13,-57.08112,10.01728,19.06501,2.62214,15.42316,13.01806,6.45516,6.59235,14.69002,7.39952
ABCA2,58.37475,3.64795,2.53377,-13.30587,-3.64374,9.59545,-0.13478,2.93693,-3.79728,-1.48794
ABCA3,9.50111,-11.02598,-14.99414,-27.78151,-11.30255,2.50545,-16.25643,-5.9838,-11.50342,-1.20692
ABCA4,-87.7011,10.67471,14.56797,-5.41442,2.63599,-9.63332,-1.61228,5.01644,-15.89976,5.53728
ABCA5,6.3993,5.35557,3.00964,-4.30199,4.61726,5.79062,-2.4864,7.4674,6.93513,4.50054
ABCA6,-122.95237,-6.01895,-3.8717,12.98242,-0.47268,15.85105,-0.39807,4.15942,7.51245,3.16699
ABCA7,28.34191,6.84123,-10.16748,0.94753,3.03545,4.67912,-1.31432,1.46613,-3.26646,-0.18316
ABCA8,-117.27696,-16.0898,7.33963,1.36198,-5.12574,3.96874,0.24802,7.74909,6.19271,4.0625
ABCA9,-108.90993,-2.68547,-5.6759,2.61143,0.2561,8.10594,-0.44559,-0.46608,6.72074,1.04148
ABCB1,-83.78798,-15.44147,-1.90125,-4.75972,-31.32449,1.63766,18.03436,-14.02883,7.17991,4.40617
ABCB10,41.14901,-2.40295,-8.05779,1.18249,0.19085,0.01805,-1.52568,-0.96024,0.55503,0.41485
ABCB4,-105.08868,-13.7921,-8.74394,13.81153,-9.59104,0.0055,13.01498,13.01997,7.18295,2.01493
ABCB5,-119.28106,-5.49258,1.2678,-1.66277,0.86056,12.1744,-5.79139,10.87279,15.88368,-2.75769
ABCB6,-2.25847,-6.33338,0.37918,-6.09015,-1.76165,-1.45599,0.62184,6.56705,2.94772,-1.97137
ABCB7,38.36896,-1.60556,-7.02953,1.51964,0.20805,-0.18401,0.91275,-0.40508,-0.12472,0.64607
ABCB8,43.6597,-3.58698,-2.88688,1.45905,-3.56353,-1.12775,-0.01454,2.85574,0.55009,-0.8718
ABCB9,8.13012,-0.87213,2.18742,-3.4048,0.68951,2.84931,0.20512,5.60674,0.36009,-4.34659
ABCC1,79.1608,0.07693,-0.36796,-1.16186,2.32353,0.50417,2.16778,-3.44826,0.62229,2.26756
ABCC10,36.82412,0.54981,-3.27083,0.61567,3.12391,1.52697,0.78397,1.36764,-0.33948,-0.409
ABCC11,-94.60913,10.21962,-6.85717,-6.28264,-2.00456,-2.30432,-1.55352,12.6818,-4.19682,-12.2342
ABCC2,-12.85915,16.09916,1.44238,2.53267,-15.96919,-1.94317,-4.4246,4.8789,10.4666,-8.7431
ABCC3,29.02937,39.31213,30.883,0.4975,-21.04988,2.53545,10.2867,-1.14897,-9.06091,6.88742
ABCC4,41.80957,-9.04272,1.52758,2.87445,-4.55014,3.46613,-4.65522,-12.8815,6.11324,0.20132
ABCC5,61.03041,-0.42156,-3.15376,-6.31284,8.52199,-3.26144,1.05866,2.35865,2.87383,-0.34964
ABCC6,-58.18013,10.87441,-6.48356,-1.73628,-17.31238,-3.56917,-1.45376,0.78447,-9.1391,3.64384
ABCC8,-144.13204,-9.49735,-16.25022,-30.5982,-4.17864,-12.64728,5.91789,-5.73822,-4.60882,-13.68235
ABCC9,4.55412,2.81715,0.10134,1.71405,2.73701,-5.12126,2.95825,-2.56393,3.37709,0.67624
ABCD1,21.36394,-0.78827,1.44278,0.58884,-3.78361,6.88476,-2.14344,8.62174,-6.59258,-3.2703
ABCD2,-134.91761,-38.41543,-15.98953,5.98503,8.06868,-2.16924,6.65472,-8.28671,2.24461,-5.85873
ABCD3,64.74673,0.73882,-1.00484,-0.44009,-2.89319,-2.43827,0.03918,3.0167,-1.71022,0.61055
ABCD4,40.88325,-1.22268,-4.58536,0.88666,1.97217,2.02545,1.05872,-2.20877,0.11187,1.58417
ABCE1,86.12725,-3.39747,-5.0106,0.64622,0.19526,-2.09027,0.65113,-1.43147,2.20743,-0.29194
ABCF1,83.73017,-4.02472,-1.9374,0.73203,2.24393,-5.04365,0.46677,1.22862,1.19127,-0.76677
ABCF2,73.53093,-5.19753,-3.61871,3.21776,-3.15654,-4.05242,-0.85223,-0.35707,2.79772,-1.19121
ABCF3,57.95355,1.31896,-1.85325,0.87998,1.56041,-3.29544,-0.05678,2.51917,1.07199,-1.04458
ABCG1,-38.16651,15.18971,-13.24764,-16.19877,12.4552,8.91317,6.84316,4.83176,-5.56709,-2.82497
ABCG2,-43.36325,32.32036,19.11729,14.53943,-8.36672,-9.55396,2.21957,2.79967,8.05871,-6.90217
ABHD10,42.80178,0.36208,-4.88661,0.79407,-2.57766,-0.05428,0.42072,-0.46299,1.59635,-2.33166
ABHD11,29.05266,13.158,-3.23215,-0.21835,-5.25398,-4.08854,0.24456,4.74121,0.36719,-1.72897
ABHD12,61.60753,0.2488,2.45616,2.21918,-2.26619,-0.45333,3.24359,2.88794,-0.70948,-0.50677
ABHD12B,-74.77143,19.87714,-1.77173,7.36657,-2.78042,-1.43121,-2.59572,-9.45409,8.41239,-3.01648
ABHD13,28.98629,-0.5167,-5.17399,0.32778,-0.09721,1.87145,2.2887,-1.79986,1.59551,-0.0882
ABHD14A,-21.92887,-6.55462,-7.54821,3.84047,-3.93438,1.91584,-1.29069,-1.70491,0.11268,-1.47655
ABHD14B,40.84658,1.39838,-8.63644,6.87303,-5.54318,1.6292,-3.35981,0.35147,2.00783,-4.22503
ABHD15,15.2208,4.90543,-4.93368,4.6395,0.12697,3.97388,-4.18541,2.15041,-0.97956,0.28905
ABHD16A,-8.16112,0.66872,-6.4743,2.75889,-1.05453,-0.50863,-0.74681,2.79827,-1.14525,-0.72914
ABHD17A,50.29431,-5.01462,-4.93337,0.889,1.52429,2.92322,-0.03373,1.30554,-1.09121,-1.65919
ABHD17B,25.56437,-2.20567,-7.22157,-0.3981,2.36405,2.10031,0.77242,0.48503,-0.42868,-1.16276
ABHD17C,27.92936,16.74249,1.08341,-4.93399,-2.52497,4.68327,6.17179,1.65708,4.97385,-4.44834
ABHD18,16.60638,-0.46284,-11.18891,0.31401,1.13162,3.37663,0.80268,0.95379,-2.52113,0.54924
ABHD2,82.01944,2.76096,0.65638,1.75328,-8.81566,2.0724,6.17056,1.42052,2.79577,0.75737
ABHD3,31.32444,7.51775,-7.47308,4.76623,1.63454,-1.11749,-3.7249,-0.51271,2.82689,1.29168
ABHD4,36.47845,7.42702,7.0212,2.9445,0.80691,2.26071,-1.06868,6.58281,0.76105,2.03462
ABHD5,15.71819,2.62345,3.51545,3.08011,-3.04,-2.33456,-0.06107,2.13345,-0.29812,-4.01083
ABHD6,-0.77185,-7.1142,-4.23022,-0.75139,-2.27957,10.60447,-2.31718,2.11658,6.61781,-0.88587
ABHD8,-0.59564,-7.79699,2.81694,-1.78447,4.82327,1.54504,-6.29371,2.23325,-7.8273,-0.93599
ABI1,61.70259,2.66893,-5.79442,3.90169,1.98865,-0.48714,-0.50788,0.37449,0.63805,0.11008
ABI2,67.85919,-10.64571,-0.83006,-4.73657,-0.8453,1.63491,0.05047,-1.19468,-0.36065,-0.17119
ABI3,-146.18766,-18.20009,-19.41519,26.71149,7.2246,7.08703,-13.33993,-5.14822,-4.95727,5.02926
ABI3BP,-60.1502,-13.00701,31.36026,16.42973,4.20114,6.18667,6.61372,4.05946,-4.84495,7.43411
ABL1,74.70049,-6.96833,0.77574,-0.60748,0.09164,1.97571,1.09586,-0.29731,-1.65324,0.09574
ABL2,66.89916,-7.66429,5.89982,3.38866,-0.10165,1.23324,-0.45863,-1.32532,0.51257,-3.90211
ABLIM1,66.68642,19.05552,-4.1436,-20.21882,-0.02764,-2.46862,6.6241,-0.64768,0.29391,6.61823
ABLIM2,-67.58392,19.39232,-10.59217,-20.7157,5.56442,9.98431,-1.16145,-9.07483,-1.15082,-0.60793
ABLIM3,-13.12876,22.29551,45.24263,18.53365,-15.85894,-1.08837,17.80809,3.82585,-4.54204,-16.08815
ABO,-91.22063,59.70589,-3.84984,-10.64613,3.36292,11.89501,14.06513,-10.53567,8.39146,10.64789
ABR,67.64739,-1.57274,1.75465,2.41089,-5.76941,5.41798,-0.61509,-3.35471,0.70788,1.35534
ABRACL,38.50884,4.6077,-7.25255,4.88372,1.46506,-3.23847,0.98287,0.74056,3.42102,2.86792
ABT1,37.98301,-0.78939,-5.93046,2.77166,1.06824,-3.38523,-0.47063,-0.20593,0.49552,-1.79131
ABTB1,13.04658,3.78693,-1.92539,7.19469,-2.43286,7.16245,1.18704,-1.02537,-1.96476,-1.4868
ABTB2,19.60277,9.93964,11.86769,-0.53037,-7.01254,-0.22158,-5.39031,2.61472,2.05976,-1.75891
AC004381.6,5.57516,-2.8494,-7.06883,3.62956,-2.42292,-3.38892,-0.86175,0.49816,-2.67836,-4.78249
