,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SIDM00006,7.42877,17.25848,7.4213,-6.81969,-4.25525,0.74769,-1.40375,-1.43038,0.30628,-1.24127
SIDM00007,3.50192,6.44442,3.49101,-2.00952,-2.61777,-0.4579,-4.64369,-4.09098,1.78374,0.19549
SIDM00008,-2.10051,-3.43283,-5.05907,5.20664,1.77446,-1.35491,2.58992,3.34541,-4.47605,0.99776
SIDM00015,-1.8577,-6.81747,-0.04632,-0.85271,0.07506,0.82604,-5.90451,-5.0721,4.59571,-0.49432
SIDM00017,-1.45455,-5.7117,2.60195,-3.25711,-2.21674,0.43191,-3.65331,-3.83915,3.54202,0.091
SIDM00027,-4.55901,-6.93184,-3.30613,-0.78107,-0.71259,-2.01359,5.19288,0.90235,-2.24789,-0.30836
SIDM00032,0.69722,-1.51825,5.43355,-5.46501,2.15982,5.1634,-2.55406,0.13645,0.74142,-0.4557
SIDM00035,5.33031,11.98398,3.61782,-3.11717,-3.66779,-0.0955,-2.20369,1.47082,-2.0275,0.91588
SIDM00040,1.08872,1.59849,4.39334,-4.33176,-0.34873,2.82549,-1.49098,-1.35778,2.55003,0.08591
SIDM00042,3.90329,4.24031,8.00121,0.36773,-2.6707,-1.56782,-0.26466,1.64009,-4.71441,1.93288
SIDM00043,-9.19159,-14.16778,2.60024,-1.51535,5.44697,3.22003,2.12958,0.51842,-1.28392,0.36431
SIDM00044,20.53642,10.16634,5.25706,-6.62597,-2.50146,-4.20026,4.39209,7.59389,-2.23523,-2.01566
SIDM00045,-34.97232,17.77758,-2.65146,-1.7739,-2.93852,3.9585,15.59453,-2.63773,1.58988,1.7359
SIDM00049,-6.46619,8.31657,1.08152,5.27157,19.58758,3.24479,-0.642,-11.87641,-3.34364,-0.4392
SIDM00052,-0.01626,-1.60926,7.0412,-9.14184,-1.17885,4.84724,-4.03475,-1.12847,1.51004,-2.59721
SIDM00074,-7.41193,-13.12103,-10.81186,7.30598,2.57684,-1.62074,6.1214,2.97352,1.7476,0.35303
SIDM00077,2.11319,9.47181,6.16727,-9.56208,-0.57594,-3.63147,2.67432,0.44376,4.85629,4.48997
SIDM00078,0.50446,-0.29041,1.71011,-1.96784,-0.01779,0.63691,-1.78498,-1.02523,0.94845,-0.11013
SIDM00079,26.97311,-16.90041,-7.39355,-3.27961,12.30679,-5.73103,-0.917,8.94928,3.18943,-2.38436
SIDM00082,7.36295,-0.65502,2.10676,5.33301,-4.42938,20.09035,0.31747,4.81443,-0.56427,-2.72538
SIDM00083,-18.23014,-1.43006,5.22486,-4.70909,-0.65047,-3.8755,-0.04595,4.40221,1.08373,-1.42278
SIDM00084,-1.79291,-5.03908,0.35853,-2.23828,-1.4231,-0.73555,-2.67236,-1.73403,1.82901,2.33789
SIDM00087,-25.05501,2.48784,-8.90159,2.37965,-3.03765,7.86851,0.498,4.19656,-3.42793,0.14086
SIDM00090,-11.5364,-9.27267,1.47939,-3.62542,0.42357,-5.59498,-3.6148,1.36192,-5.7387,-1.3044
SIDM00091,11.07882,-7.34718,10.44766,6.80921,4.26755,-1.48933,1.15464,8.72013,6.8385,-1.11447
SIDM00095,3.59267,6.26013,-0.24632,-1.04119,-1.0647,-2.3492,-5.36351,-1.03808,1.88079,-0.79829
SIDM00097,18.93274,6.4163,-18.1763,1.26826,1.5115,-3.7961,0.41871,4.71333,-0.32671,11.05841
SIDM00105,12.55431,7.73667,3.44888,-14.42659,-3.36096,1.48267,-5.28277,-5.9486,-0.39558,1.45377
SIDM00107,-3.37547,8.88232,12.3147,10.06728,-6.11192,11.89664,-5.64246,9.78708,0.16814,3.02286
SIDM00111,3.86372,-12.1642,-1.66663,-1.39319,-6.25252,-0.88833,1.35823,2.21495,-7.0391,-1.20758
SIDM00115,-3.34296,-8.01819,-1.42772,0.5684,2.77625,1.39003,1.17615,-2.57876,0.5155,-0.24969
SIDM00117,5.56137,26.81365,3.26382,11.56313,15.67503,-10.58456,-0.4713,2.19059,-7.90922,-3.22321
SIDM00118,-9.95413,0.9896,8.68517,7.93866,-3.199,4.49403,-10.4729,-0.17546,0.11355,-2.32721
SIDM00119,16.72697,24.10935,1.28512,0.725,1.64579,-0.03186,-3.43503,-6.02919,-0.88289,1.80134
SIDM00120,19.22194,-9.76438,-0.32194,-8.74835,-6.23487,0.5462,-2.30886,-2.80363,-2.62827,-1.82239
SIDM00122,4.93722,-0.46002,-7.92938,-6.96588,-1.32549,1.2307,-2.29169,8.56432,3.96268,-4.45574
SIDM00125,-10.5304,-13.16126,-2.21785,-0.13979,3.1841,-6.67706,-6.1838,-2.9468,2.50506,3.24915
SIDM00127,9.27684,5.02132,14.96724,-2.05862,17.9099,0.7598,7.00681,5.83265,-3.62673,-2.25285
SIDM00128,-5.74448,-14.83376,1.11604,-1.28722,2.77191,2.483,1.02121,-0.53826,0.83509,0.95139
SIDM00130,8.70312,-3.86939,6.93882,-3.07332,3.96243,-4.24108,-5.92863,-2.86112,-0.1632,-0.81525
SIDM00131,1.12965,2.73892,3.38321,-6.74133,-3.05139,-1.33317,-1.60962,-1.49423,3.05328,-0.47729
SIDM00132,3.15149,-4.11154,1.90055,1.52437,2.93629,3.88125,-3.37337,4.71297,4.19132,-5.54001
SIDM00133,8.34459,-18.24403,2.94372,-0.96831,-3.5574,-1.01071,-1.38918,2.46239,-1.90202,-1.46648
SIDM00135,-2.31613,19.40435,6.72336,-8.403,-2.61473,-0.03175,1.22491,7.82652,9.20031,1.15219
SIDM00136,-10.28805,-1.8642,10.5937,16.89252,2.12173,-1.03386,-7.12831,-0.68221,6.99051,-0.68904
SIDM00137,-4.15011,-6.71092,1.92796,5.81219,-2.33204,-2.12689,-5.50947,2.68447,6.34822,-2.30929
SIDM00138,-5.81747,3.12647,-0.87612,-5.98272,-9.00009,11.95914,3.35942,2.8008,-12.11074,-3.16661
SIDM00139,45.40048,-14.3421,-9.62965,2.50385,-6.78267,-5.13049,9.07236,3.3435,7.58721,-8.93902
SIDM00140,-3.97211,8.73975,-0.08869,6.21582,-2.98544,8.92219,2.64558,1.63913,1.15364,3.04753
SIDM00142,-2.64963,2.54528,-17.14538,2.16647,-1.06267,-2.66249,-6.99369,6.96851,-0.84176,6.03948
SIDM00144,-0.64579,-3.1904,8.66269,-8.81424,-3.50173,2.7463,-2.93464,-4.16971,2.6846,0.80143
SIDM00146,1.99479,2.44841,6.79018,1.82382,-3.92792,-1.80856,-5.61729,3.76036,-0.36435,-0.46533
SIDM00148,9.02508,-1.86648,-3.9351,-16.28176,-8.91396,9.32823,-10.37114,-3.30617,5.56989,1.60513
SIDM00150,-9.17663,5.46313,0.36592,8.35109,-3.54698,-6.42063,-2.85912,-10.96191,4.91765,3.98979
SIDM00151,-15.54512,7.61633,9.48203,2.27708,17.59605,-7.26305,-1.23597,1.14782,5.03506,6.1232
SIDM00155,-0.6346,0.37994,2.78144,-2.14276,0.55955,1.20245,5.31371,3.08435,-1.81902,-1.06767
SIDM00156,-0.35158,-1.65664,-15.17645,-1.17397,-6.03526,0.12945,3.00073,0.68573,0.94461,-4.09647
SIDM00157,-2.6585,-4.70303,-4.44073,3.76923,0.61362,-2.09148,1.93883,0.43289,-0.7128,-1.03733
SIDM00172,-5.71548,-16.04908,2.36458,-3.38581,3.73184,4.54265,-0.68705,0.17677,0.70437,0.10651
SIDM00182,15.6762,3.48463,-11.02851,-0.8842,-3.8957,8.07523,1.94523,-6.57462,1.92867,0.41879
SIDM00187,-3.08837,-8.52576,4.09244,-2.88365,2.0625,2.23908,3.40306,-1.40736,2.2799,2.45447
SIDM00193,9.93658,4.05957,-2.75336,0.54635,-0.86522,3.14101,-4.67899,-5.09538,0.85883,4.32902
SIDM00194,29.65804,1.21942,-8.73571,16.52022,1.32761,-0.7878,-6.44791,-6.17258,-0.31186,-9.2713
SIDM00196,-20.79528,2.27544,-1.85009,-10.60926,-7.67737,-7.50572,0.90079,-3.05543,-7.40737,-3.57959
SIDM00198,-8.84001,-13.59126,0.06081,-5.64855,-2.6089,-8.73439,-0.65347,-4.41619,-1.25928,-2.68433
SIDM00201,-24.71083,-6.73698,-6.06253,-2.93787,-0.1448,-11.51961,-0.14439,0.17501,-2.89561,3.04844
SIDM00205,-23.84818,-8.01067,-6.12596,-1.89273,-0.77966,-11.73426,-0.81236,-1.60877,-5.0225,-1.03313
SIDM00207,6.20975,13.65058,0.11593,-0.88491,-2.3405,-2.41284,-3.53274,-0.87083,0.56378,-0.3401
SIDM00208,5.33691,13.19816,2.60088,0.38348,-1.22786,-2.64993,5.5025,5.54266,-5.47225,0.8385
SIDM00209,-2.28494,-4.80442,-1.58042,0.07843,0.25747,-1.13104,2.32085,2.79993,-1.70381,0.85203
SIDM00210,-32.9803,-0.46877,-3.32693,9.40001,2.90086,-3.74088,0.8331,3.2432,5.62403,1.82137
SIDM00212,17.32047,5.95789,-0.92363,1.79824,-0.85447,-10.81557,1.42592,2.90655,8.32859,0.58631
SIDM00220,-15.63449,-3.27621,3.46558,-5.73566,2.68057,-5.55965,0.00874,5.69027,-3.58662,-0.79349
SIDM00222,7.98457,7.7208,1.6205,-2.67782,-5.10693,-4.37082,3.4104,-0.50317,6.71347,-2.14914
SIDM00225,-5.1309,-8.7945,6.60935,-0.72074,-2.66484,-3.33501,-4.74327,6.4234,-0.56427,2.75519
SIDM00237,-6.76951,-5.82545,5.71923,-3.82168,22.05592,-5.63346,4.84329,-1.80224,-2.77668,-5.66951
SIDM00238,1.34238,2.57347,4.01876,-6.08455,-4.37902,4.28679,-1.7429,-2.78986,0.68365,4.59693
SIDM00239,30.6744,-8.94404,-5.22112,-3.08993,1.77375,-4.01519,0.21666,-1.48845,1.7178,8.27677
SIDM00241,-23.09496,-2.67259,-18.90126,-6.02494,7.98088,10.62506,-3.35645,-0.26952,-1.02423,5.09491
SIDM00244,-31.19202,-3.82668,12.11532,8.05368,6.19905,0.56439,5.0089,-2.50568,3.47197,1.81615
SIDM00250,-5.50712,4.72707,-1.10992,-7.87204,15.86304,12.84424,0.67319,-4.92774,-4.02819,-1.7984
SIDM00253,4.17527,10.11043,-8.26435,8.18397,-0.7594,-6.19402,-3.07318,-2.01238,0.48923,-2.45244
SIDM00254,-1.12701,-0.82143,3.71624,-2.1083,-1.30211,0.5112,4.78805,0.82818,-3.63104,0.77793
SIDM00255,0.78824,2.82383,-2.30159,-0.37911,-2.35173,-3.25749,-2.12311,-3.01896,-0.2314,-2.19151
SIDM00257,-20.30676,1.14089,-3.58742,-3.91242,-6.52137,-4.95945,0.65357,-6.70087,-3.56024,-2.08862
SIDM00259,-14.07754,1.01014,9.07791,-1.08148,-9.64055,-6.6882,4.99084,-5.05613,-4.85805,-5.85625
SIDM00260,9.1746,-5.10454,2.09519,2.48807,-0.47966,4.6706,-4.64078,-1.59788,3.5846,-6.76461
SIDM00261,-34.51252,-8.01445,-1.46755,-6.71349,-4.90045,-11.31993,4.41935,-0.32317,-2.89707,-1.46667
SIDM00263,-10.83099,-8.65924,-8.85662,3.36557,1.05641,-3.72279,7.88003,5.01854,0.90472,-0.97767
SIDM00264,0.8358,-17.57162,-3.04138,-7.96648,0.27744,-7.53669,-1.53075,-2.72756,-6.2646,0.31608
SIDM00270,1.66397,3.64196,2.79768,-3.77529,0.85486,1.13273,-2.59488,-2.27196,1.0938,-2.44941
SIDM00272,-7.18733,9.65384,-13.0102,2.30677,7.64234,-2.9436,-2.2991,7.82578,-3.27207,2.7138
SIDM00273,-14.09008,-8.07848,-3.69503,-7.04583,-3.04278,-2.37117,-1.42957,4.53772,0.62899,-2.48545
SIDM00274,1.94466,1.73713,3.38251,0.6954,6.19025,-4.00868,-0.24039,-3.10111,1.33516,-0.16351
SIDM00277,-61.25076,-2.13915,0.0054,6.20583,-6.20424,13.4616,16.33628,-5.37206,7.8202,3.91155
SIDM00278,-10.23287,18.35789,12.19382,-8.96844,11.24202,3.5383,4.23736,-0.85125,-8.59755,-1.59543
SIDM00284,6.06422,-7.7803,16.12037,15.71095,-8.5269,7.52988,-11.52375,3.99763,1.42607,1.19823
SIDM00290,-28.84103,-6.01715,-4.81166,-10.1154,1.45704,-3.94917,-1.02969,-3.39202,3.65981,10.42493
SIDM00300,8.10326,7.90769,-1.2951,-1.20333,3.75436,-2.8068,0.04822,-3.93139,-4.81228,-3.34672
SIDM00301,-6.4308,-4.84729,-0.21987,-1.03838,-8.42826,-1.9961,-1.45337,0.89774,-1.95858,0.61114
SIDM00303,1.32974,1.96145,-2.78598,0.46189,1.63422,-0.47369,-2.92279,1.04912,-1.52071,-4.46604
SIDM00305,-0.10607,-2.07049,4.5301,-2.93738,2.00222,3.05198,1.16564,1.69961,-1.9087,-0.20425
SIDM00312,-26.72931,3.75236,-12.73561,-1.11744,1.0724,8.25039,0.87363,6.3514,4.69239,2.06863
SIDM00315,-2.68036,-7.48926,-0.29601,-1.19466,0.16963,0.77029,-2.14756,-0.47095,1.43797,0.78773
SIDM00316,-5.71399,0.55932,0.88054,-6.00675,-1.92695,-5.47949,1.86771,6.02105,8.0425,3.20169
SIDM00318,0.3219,-0.55217,0.76047,-1.11271,-0.46755,0.34503,-3.74297,-3.37202,3.07644,-0.17623
SIDM00320,14.25994,-4.10363,-8.26844,-2.80358,-11.21794,-1.16461,4.29024,-4.20093,1.37116,-5.59834
SIDM00321,1.80444,-2.40782,11.69378,-1.17881,-5.78035,-0.42715,-2.18167,3.27217,-6.68168,8.6324
SIDM00322,-11.08041,1.66515,0.14071,-5.7551,5.39658,10.54425,-2.36843,-5.52947,4.39972,0.1573
SIDM00324,-13.57097,6.91517,-8.55923,6.10286,-7.85899,-4.19899,5.09804,-7.51382,2.65479,-2.16596
SIDM00325,5.45868,4.16767,1.76745,-12.81397,-4.14172,5.09619,-4.08977,-6.58463,2.37419,-4.43389
SIDM00326,-4.13687,-1.04014,7.92962,-6.15951,-1.34798,2.17575,0.0658,-5.00175,8.02951,-4.35897
SIDM00328,10.88695,15.56213,-4.59958,-1.32252,15.64217,-1.64638,-6.25497,-6.6819,1.21921,3.68366
SIDM00332,2.99309,13.37919,-5.56786,-0.93716,-2.49045,0.59035,14.18324,5.81471,7.35859,0.23593
SIDM00333,5.90047,-0.32686,-4.55903,-7.62328,-3.7288,9.36782,-6.4798,-5.13087,0.02894,5.65192
SIDM00334,21.42174,-11.90265,-6.33475,-13.40704,-10.60812,8.97308,1.9924,-2.6025,-0.61252,6.94383
SIDM00335,11.75576,6.79495,-13.2709,1.75041,1.54625,-4.6798,6.31329,2.81214,1.99268,1.61891
SIDM00336,13.65584,-18.47057,0.33693,6.60711,-4.56915,4.11584,-1.57903,0.30556,1.64021,0.45792
SIDM00339,-12.33231,-4.75245,4.05818,-4.43272,1.73568,-1.44017,1.07068,0.40387,6.5221,0.42878
SIDM00340,2.39777,5.38277,-15.25596,9.07052,-1.94796,-2.17849,-1.12482,-0.24068,-1.86905,0.70318
SIDM00341,4.29499,7.04028,6.71684,-7.25332,5.92886,-3.58596,3.75971,0.49951,-1.71662,-2.84897
SIDM00344,-7.13733,-14.55447,2.3985,7.9343,-1.77988,-1.62613,-0.83609,-0.0106,4.17213,-3.91658
SIDM00345,1.62046,-4.39211,-10.49719,-0.07745,-2.88196,-6.39776,-7.83344,-1.14779,10.02007,-3.33627
SIDM00347,17.19412,-1.91607,0.73421,-8.26261,0.26881,1.42181,-7.98013,1.18012,-3.57547,2.44534
SIDM00348,1.27262,2.70112,4.71289,-5.27142,-1.20162,2.09173,0.07956,-3.60251,4.48955,-1.87543
SIDM00349,-0.95764,-2.0271,2.71208,-4.02603,-0.24093,1.2142,-3.67672,-3.06484,3.00396,-2.05342
SIDM00351,-13.18501,0.30559,8.11467,4.84921,6.33016,-2.07059,-1.08412,2.64466,-9.2631,-0.0288
SIDM00352,21.79077,-5.11642,-3.25979,4.4943,11.44596,2.76778,4.55116,7.23917,3.23128,-2.25919
SIDM00353,31.10524,-13.28702,-0.82672,2.13246,-5.70721,6.43339,5.01396,10.18002,-2.10553,0.08256
SIDM00354,3.56343,15.2774,3.52645,1.179,14.55169,-2.68731,5.59805,0.29775,-4.89628,2.28328
SIDM00358,-3.07454,5.71242,-2.2184,1.28444,3.1782,1.68216,5.1743,-0.33513,5.94944,-5.56617
SIDM00359,17.1679,10.18524,9.33124,13.6611,1.94979,1.90391,-3.35793,-3.18875,-0.84035,-2.56549
SIDM00363,-20.7622,16.32933,-3.81295,2.61285,-8.03552,6.00292,6.27922,0.6546,-2.19455,-3.49553
SIDM00369,9.46594,6.34914,3.52267,-4.80302,3.44357,3.49928,1.78403,-6.99754,0.57359,-3.64612
SIDM00371,22.16389,-15.88025,0.32954,9.92017,-6.15392,-3.29571,2.15523,-6.62593,-4.5521,4.42531
SIDM00373,-12.84878,-12.98621,-0.41938,-7.43039,1.77913,2.86605,-2.35057,3.14618,1.12926,-4.94345
SIDM00375,8.24039,1.41365,5.39478,-3.74543,4.1267,1.11539,4.93272,8.75389,-9.34689,-7.4697
SIDM00379,3.38806,-2.88696,1.88098,-10.55091,-0.41306,-1.90282,-1.82477,6.36796,-0.22056,1.67322
SIDM00382,-0.78246,-2.23883,1.76746,-3.25141,-2.14788,-1.01133,0.37649,-0.63756,1.14597,1.15449
SIDM00383,7.49409,20.64297,2.42201,-4.09252,-2.81457,-2.32031,2.31025,5.1713,-6.45855,-1.06952
SIDM00386,-15.66799,-15.53842,-5.54814,-7.70431,-8.80144,-7.03723,4.79949,0.94474,-2.35009,-6.03784
SIDM00387,-0.9906,0.52666,-1.60176,3.60182,-0.61418,-2.44951,5.66765,2.38593,-4.32313,-1.74333
SIDM00389,-37.21503,1.12717,-17.4553,4.0304,3.00948,3.19772,-2.22088,3.75599,2.96204,2.86382
SIDM00391,4.44569,4.23468,-18.93722,7.84832,-4.57975,-5.34373,1.15667,-6.00945,-0.26174,1.58131
SIDM00392,-1.31457,-5.41966,-0.53715,2.87316,0.32941,0.88232,-4.19252,0.63326,-0.75054,-1.12143
SIDM00395,-9.06175,5.75695,4.23954,3.66591,-6.80031,-10.01683,2.3023,-8.5815,-4.45449,-1.82853
SIDM00399,11.9973,7.18888,-3.93037,15.86511,11.68639,13.24613,-0.89565,-2.62582,-3.09844,-4.20337
SIDM00401,3.32894,2.31045,2.00535,3.69484,-1.73437,2.81845,-1.10063,1.57403,1.57695,2.62898
SIDM00402,-11.6334,-2.44181,-2.80003,0.33743,-0.74016,2.54039,1.88335,-1.13003,9.77721,-6.66876
SIDM00405,-2.35466,-2.43029,-10.04276,6.79038,2.48728,-2.38155,1.76208,1.89572,1.20048,1.29953
SIDM00406,-56.7241,-9.60892,-7.45203,-5.48432,3.00788,4.3111,3.82894,4.46847,2.04828,6.64431
SIDM00411,27.79164,8.32286,-0.61944,-1.02922,-2.62045,-6.03019,6.05509,1.03,-3.76963,-1.74744
SIDM00414,-9.11304,0.99544,9.75975,-7.00824,-6.62452,-0.56083,-5.38321,2.94882,-5.5396,1.53697
SIDM00415,6.07303,15.77277,-10.4605,9.21881,-2.65888,-9.06265,-5.52977,-1.39187,-4.67548,-2.09808
SIDM00419,-21.10229,1.71537,-5.34819,-2.08086,-8.21937,-4.47231,7.20725,2.61338,-9.87283,-1.13118
SIDM00423,-18.57148,-5.89173,-13.69299,6.05652,-4.22274,-5.31725,-6.4013,-4.81491,-8.61282,-0.49499
SIDM00425,7.86528,-6.26899,2.63002,-6.51614,8.80403,-4.7739,3.51052,-0.40849,9.49489,2.4163
SIDM00428,-10.26462,-22.41028,-3.07389,4.80887,2.41561,4.01088,5.35773,3.96258,0.05512,-1.14782
SIDM00429,-41.45152,-7.87951,-10.44155,5.323,2.44079,-10.11999,-1.81849,-1.15629,3.9226,2.14028
SIDM00437,-66.14617,-1.79723,-5.41447,5.69488,-0.82995,4.72838,13.49137,0.68189,6.13406,2.32103
SIDM00444,-7.44087,5.77185,-21.05593,8.23616,-0.72267,-5.36734,-4.04151,0.55218,2.112,-3.48657
SIDM00446,-44.04887,-1.83875,9.72291,17.55089,-7.17802,11.63588,0.19541,-0.50621,-2.46647,-0.85529
SIDM00447,-29.12106,-11.18504,-14.15696,-1.83563,-2.75952,0.9946,0.1196,2.97716,-2.85649,-3.51436
SIDM00451,-26.89966,0.84973,-11.81698,9.59707,0.10812,-13.43607,-1.61348,-5.53472,1.18906,1.76912
SIDM00453,3.08148,-7.10373,5.69263,-0.62816,-1.69673,1.66149,-2.30741,-0.22216,0.14789,4.50045
SIDM00455,20.04499,-8.04215,1.21117,3.96308,-1.75003,-2.89005,4.08522,2.27724,-1.94995,5.87041
SIDM00457,-27.17566,13.49792,-15.99733,8.27945,-1.41762,1.38819,0.36986,2.86787,9.152,-4.37389
SIDM00460,-8.83509,-19.04301,-7.84566,6.43419,0.62217,-1.98048,2.25892,-0.31432,0.534,0.90837
SIDM00462,-31.50607,2.84543,0.81739,17.36121,-1.2038,9.27807,-2.37843,7.14119,-2.71084,0.69938
SIDM00465,5.23388,-6.80772,0.35267,6.18821,20.74866,0.6403,4.03015,1.13289,-0.35683,-3.97399
SIDM00469,-2.57988,-17.14022,7.99322,13.2448,-5.4941,4.07347,-0.49264,0.3891,-4.81147,0.62128
SIDM00472,17.35426,-6.50011,4.19622,-1.76843,-3.26016,0.02792,2.55987,1.60644,0.14332,-7.0471
SIDM00473,2.45518,5.57763,6.03586,-2.78274,0.32295,1.04154,3.26779,3.07947,-5.33659,0.77109
SIDM00474,-0.08936,-0.76797,-0.53906,0.83862,0.23102,-1.25518,0.7815,1.50722,0.75958,0.8093
SIDM00477,1.95596,4.7373,1.79378,0.26481,4.33,-5.09608,-7.95847,1.12518,-0.03229,-1.93769
SIDM00478,-3.28591,3.03328,7.32279,-7.94031,13.3599,6.78088,-0.98396,-0.11037,3.39564,-0.41981
SIDM00480,10.98724,-4.13378,-2.41433,-3.55269,-2.42349,-3.34413,3.62528,-2.97806,0.62748,6.05633
SIDM00481,15.03042,-2.84492,-7.35176,-1.99979,-4.63165,-0.76223,1.98335,-5.79199,-9.22315,2.76673
SIDM00483,24.52968,-9.27411,3.4436,5.41059,11.86877,0.71727,2.13051,7.70838,5.79805,4.44035
SIDM00485,-7.21783,2.13962,6.52051,-10.60277,-0.63237,5.28315,1.8271,7.04832,-4.89218,-1.08341
SIDM00486,-7.67444,-1.00007,8.9617,5.60945,-3.68197,1.29229,-3.26963,-1.93803,-0.96155,11.86666
SIDM00489,-12.21764,-3.69806,4.19121,-3.13397,10.44268,7.17065,0.86657,-7.53811,-6.18186,-0.58569
SIDM00490,6.48861,-2.35165,2.9836,-4.96875,-4.05939,-3.13669,-1.74947,5.08409,0.8097,5.13197
SIDM00492,-3.08038,0.11667,-0.61842,13.22864,-8.07141,-7.75983,-5.26303,-2.59533,-6.79197,3.63817
SIDM00493,-4.20259,-10.70885,5.26189,-3.65594,3.27887,3.14159,6.15059,1.86569,-3.11993,1.08382
SIDM00494,5.28182,-4.98462,-4.52519,-0.30435,-1.94459,0.04324,0.14021,-5.35379,-2.67553,3.2354
SIDM00498,-3.18119,0.93136,7.43594,0.87394,-3.52367,-4.12023,-4.94004,2.71571,-2.16318,-0.77688
SIDM00499,1.96787,-2.5252,-6.9296,2.81218,-3.37111,-4.18272,-7.05373,6.80091,0.33906,0.78837
SIDM00501,16.36872,-5.06772,4.0424,-6.33109,4.38627,6.58959,5.37952,-0.87215,-7.37948,-0.33062
SIDM00503,5.85648,0.69663,-2.5252,-1.60156,-1.67495,4.26283,1.65332,5.27443,9.14845,7.98883
SIDM00504,-15.33375,-7.79636,5.32873,-5.54301,-4.05013,-4.59006,0.45078,5.46792,-1.52107,1.72
SIDM00505,2.17059,-4.09281,12.6719,-5.71892,-6.04397,5.52831,-3.62055,-0.12079,4.84193,-2.75691
SIDM00511,-16.4238,2.15623,-8.15715,-2.04486,-6.37085,-10.8051,-0.33514,-0.52829,-8.21183,-1.14387
SIDM00512,2.04334,-8.93517,-1.75758,2.88569,0.60804,-4.70047,-0.95105,-2.57409,-1.09097,4.55708
SIDM00517,-8.36809,-11.82768,7.92968,2.37759,16.31288,4.12307,2.61506,-3.80595,-1.28053,-6.21407
SIDM00527,-13.04445,3.47931,14.10997,6.60154,-4.36143,0.01009,1.82377,4.77834,-7.67113,7.99461
SIDM00528,0.93072,8.50426,-11.27076,-6.47271,6.28749,6.70846,-3.28313,-2.17694,6.67073,5.77
SIDM00529,3.74029,9.72127,-8.23484,-5.7959,-9.40592,8.36935,0.40292,-0.5921,-3.11255,-1.34186
SIDM00530,17.1727,-6.16599,-18.35189,-0.12041,21.45021,3.46819,4.77924,-4.8427,-3.35498,6.88309
SIDM00531,6.15239,-13.99271,-2.89702,1.31216,-1.78035,4.42572,5.16895,-5.13143,-7.9449,-0.7669
SIDM00533,18.22971,-5.38687,2.63658,4.90166,1.78482,-1.52108,3.7966,1.866,-0.3042,-0.52369
SIDM00534,6.64728,13.68416,2.63731,0.05526,-0.94957,-0.28648,4.17361,-4.58334,-1.99815,-0.38574
SIDM00537,-16.26591,6.22182,-2.63822,3.00344,-0.11655,6.14353,-2.91803,-4.41323,2.88112,-2.92079
SIDM00538,0.68783,2.11077,3.80571,11.88133,-6.31997,-0.90596,-3.07275,-4.18842,-1.62566,3.69712
SIDM00539,6.57911,-7.96501,-13.08639,-2.4389,7.60555,5.65583,0.5635,-1.23461,-8.23595,-4.37735
SIDM00540,-9.93592,13.6479,12.15287,0.26082,18.76748,5.19008,9.44879,2.54054,2.10748,3.44077
SIDM00541,6.55633,20.90198,8.56407,6.57244,5.79112,0.63574,-2.75476,-5.30402,0.51084,-1.99392
SIDM00547,3.07516,16.64805,-4.5441,21.9921,-0.01648,-10.23765,-12.96798,1.33893,-1.63399,-6.45198
SIDM00548,-8.23055,-1.28347,-1.22171,-2.83803,-9.41249,-5.18908,8.05781,-3.92975,3.23832,-8.49784
