Gene,pearson
CINP,-0.3369
DPH5,-0.33066
DNLZ,-0.32974
POP7,-0.32556
RPP38,-0.32425
TRMT61A,-0.3217
WDR18,-0.31534
TIMM9,-0.30849
TTC4,-0.30561
TRMT6,-0.30328
MAX,-0.30295
NHP2,-0.30169
NOP10,-0.30106
POP4,-0.29528
SCD,-0.29477
ADAT3,-0.29322
POP5,-0.29216
GGPS1,-0.28965
PAK1IP1,-0.28933
RCL1,-0.28846
RTCB,-0.28652
POP1,-0.28515
NOC2L,-0.28491
DNAJC24,-0.28241
ARL2,-0.28174
RPF2,-0.27872
GUK1,-0.27536
TP53RK,-0.27527
PWP2,-0.27273
SAMM50,-0.27261
CHCHD4,-0.27236
RPP30,-0.27221
RAD50,-0.27095
GTF3C5,-0.2708
DOHH,-0.27055
ORC4,-0.27031
C18orf21,-0.26866
NOL9,-0.26845
PPA1,-0.26804
NOL10,-0.26449
ASNA1,-0.26422
CEBPZ,-0.26256
NGDN,-0.2623
URB2,-0.26226
GTF2A2,-0.26114
GTPBP4,-0.26093
CEP44,-0.25959
TRMT112,-0.25892
TRMT5,-0.2589
RPS11,-0.25835
LSM10,-0.25778
GNB1L,-0.2567
ADM5,-0.25521
RPP21,-0.25468
EIF5A,-0.25464
NOL6,-0.2537
ZBTB8OS,-0.25345
DBR1,-0.25252
FKBPL,-0.25203
TAF1B,-0.25186
RFC5,-0.25184
DIEXF,-0.25139
N6AMT1,-0.25048
CDIPT,-0.24733
DDX54,-0.24722
EXOSC5,-0.24636
POLR1E,-0.24611
ENO1,-0.24547
TEX10,-0.24285
TPRKB,-0.24283
AATF,-0.24225
RRP36,-0.24172
C19orf52,-0.24144
MFN2,-0.24029
NOP16,-0.24028
NDRG3,-0.23969
ISG20L2,-0.23887
DDX21,-0.23685
HSCB,-0.23664
NAT10,-0.23642
CYB5B,-0.23596
DDOST,-0.23542
RCC1,-0.23518
NARS,-0.23392
WRB,-0.23311
POLR1D,-0.23288
GEMIN2,-0.23257
IMP3,-0.23225
C15orf41,-0.2311
POLR3B,-0.2295
DHODH,-0.22864
DNAJC11,-0.22817
CAD,-0.2281
NVL,-0.22773
RBBP4,-0.22749
RPP14,-0.2269
LENEP,-0.22676
MRE11A,-0.22651
SDAD1,-0.22579
GTF3C4,-0.22474
HEATR1,-0.22383
DPH1,-0.22373
IMP4,-0.22371
TOP2A,-0.2236
PDCD5,-0.22352
EEF1G,-0.2232
PMVK,-0.22312
KRR1,-0.22243
ELMO1,-0.22232
GFER,-0.2218
DCPS,-0.22165
TMA16,-0.22156
RRP1,-0.22103
GTF2H2C,-0.22049
PRDM10,-0.22009
DARS2,-0.21993
RSL1D1,-0.2199
PTDSS1,-0.2197
ZNHIT6,-0.2195
SHQ1,-0.21941
C9orf114,-0.21925
RPL5,-0.21906
TELO2,-0.21869
MARS,-0.21862
SPATA5L1,-0.21849
RIOK1,-0.21831
KDM8,-0.21824
EIF6,-0.21797
PINX1,-0.21775
ERCC2,-0.21752
NUBP2,-0.21734
WDR3,-0.21705
RRP9,-0.21702
PWP1,-0.21651
NLE1,-0.21639
SARS2,-0.21586
THG1L,-0.21579
CPSF3,-0.21508
TUFM,-0.21488
GRWD1,-0.21468
POLD1,-0.21459
PCID2,-0.21381
GEMIN6,-0.21347
DHPS,-0.21342
TIMM10,-0.21325
FH,-0.21309
PCYT1A,-0.21297
