COSMIC_ID,model_id,SEEDING_DENSITY,GROWTH_RATE,DOUBLING_TIME,DAY4DAY1RATIO,tissue,cancer_type,model_type,growth_properties
905975,SIDM00003,300,1.1169288925014462,46.53458395656865,3.188845074353966,Skin,Melanoma,Cell Line,Unknown
1298533,SIDM00042,150,0.9683811178382571,52.505981865021084,2.7533805666755,Pancreas,Pancreatic Carcinoma,Cell Line,Unknown
1298529,SIDM00044,325,0.8097747806243475,63.762397195894714,2.3294834854267443,Head and Neck,Head and Neck Carcinoma,Cell Line,Unknown
1322224,SIDM00045,325,1.9681491489231866,25.16907729708248,7.267747408443659,Stomach,Gastric Carcinoma,Cell Line,Unknown
1247873,SIDM00046,300,0.37817177081646186,173.99125915603688,1.5368539647959687,Lung,Lung Adenocarcinoma,Cell Line,Unknown
1503370,SIDM00047,300,0.7312385794923978,85.84701690402058,2.2576044081663875,Lung,Non-Small Cell Lung Carcinoma,Cell Line,Unknown
1789883,SIDM00049,300,0.7101234559264219,89.71173829908541,2.2213255446077955,Large Intestine,Colorectal Carcinoma,Cell Line,Unknown
1240208,SIDM00054,400,1.0949194140452112,45.327335284925006,3.058595016643271,Pancreas,Pancreatic Carcinoma,Cell Line,Unknown
924238,SIDM00056,100,1.7351046164523611,29.913728399818375,6.131311208939144,Thyroid,Thyroid Gland Carcinoma,Cell Line,Unknown
907057,SIDM00064,200,0.9612876368928889,60.088788230621,2.7828170084063446,Liver,Hepatocellular Carcinoma,Cell Line,Unknown
1290724,SIDM00077,300,0.8697698077052343,56.83409924937388,2.450088088678464,Head and Neck,Oral Cavity Carcinoma,Cell Line,Adherent
905959,SIDM00079,400,0.7608664375433497,68.75843209106431,2.234539860226893,Ovary,Ovarian Carcinoma,Cell Line,Adherent
905955,SIDM00082,500,-0.1630901646513084,660.39501597105,0.9133530809336496,Skin,Melanoma,Cell Line,Adherent
905984,SIDM00083,150,1.2628422682015426,39.47717201305797,3.6683406077073086,Central Nervous System,Glioblastoma,Cell Line,Unknown
905986,SIDM00085,300,0.9365823236097783,55.24372382439688,2.6665275929403474,Central Nervous System,Low Grade Glioma,Cell Line,Unknown
905978,SIDM00086,300,0.6422897028291088,76.6284781999107,1.9179943341639574,Kidney,Kidney Carcinoma,Cell Line,Unknown
905964,SIDM00087,800,0.8954199545250027,56.33299634772409,2.5220122895803914,Haematopoietic and Lymphoid,Plasma Cell Myeloma,Cell Line,Suspension
905934,SIDM00088,325,0.741614067260936,70.3751792434719,2.182085434610902,Prostate,Prostate Carcinoma,Cell Line,Adherent
905991,SIDM00090,200,1.434260920683624,34.76969993863616,4.336889262219611,Ovary,Ovarian Carcinoma,Cell Line,Unknown
905969,SIDM00091,300,1.156737392694461,44.16476908096599,3.354286729456573,Ovary,Ovarian Carcinoma,Cell Line,Unknown
905990,SIDM00092,625,0.5599177591725325,93.63052472259106,1.8109320883741271,Ovary,Ovarian Carcinoma,Cell Line,Unknown
905979,SIDM00094,625,0.3696876889617823,169.9299469840089,1.510695975951292,Kidney,Kidney Carcinoma,Cell Line,Adherent
905965,SIDM00096,625,1.4930596442742543,33.6910857139335,4.583502263202198,Haematopoietic and Lymphoid,Other Blood Carcinomas,Cell Line,Suspension
905945,SIDM00097,300,0.7389277499553927,68.38975137224898,2.1587498535025604,Breast,Breast Carcinoma,Cell Line,Adherent
905945,SIDM00097,500,0.4664693384568605,139.9239577424552,1.6895653879073378,Breast,Breast Carcinoma,Cell Line,Adherent
1240134,SIDM00098,500,0.6687211896838049,73.31916883950167,1.9992090711542114,Lung,Mesothelioma,Cell Line,Unknown
1290812,SIDM00099,625,0.36925782722631945,142.1217226910865,1.4912594548527636,Lung,Mesothelioma,Cell Line,Unknown
1240132,SIDM00100,800,0.1260292587297932,1162.1908394987663,1.1666579360861606,Lung,Mesothelioma,Cell Line,Unknown
1240131,SIDM00101,500,0.5545150738422646,141.40665901247988,1.8595470273850714,Lung,Mesothelioma,Cell Line,Unknown
1240131,SIDM00101,625,0.3449495502834844,-108.8886419956971,1.5168098372145078,Lung,Mesothelioma,Cell Line,Unknown
1290810,SIDM00102,400,0.8282837235757461,62.30725888866795,2.4014644327532624,Lung,Mesothelioma,Cell Line,Unknown
1290809,SIDM00103,300,0.8973199515284573,73.07818792866661,2.9235194731458614,Lung,Mesothelioma,Cell Line,Unknown
1290808,SIDM00104,625,0.2708837368065795,137.5769496091845,1.3672312618931162,Lung,Mesothelioma,Cell Line,Unknown
905933,SIDM00105,500,0.7542416556205809,69.18288348925114,2.206551176624892,Ovary,Ovarian Carcinoma,Cell Line,Adherent
905976,SIDM00107,100,0.7478463085567344,64.8839299238885,2.157968558590313,Skin,Melanoma,Cell Line,Unknown
